rank,run-dir,plan-id,bbar,hbar,done,return-cost,predicted-q,physical-q,residual-q,error
498,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-339_20260614T023659,mpc-254-3-lambda-0.363,0.36315030663475245,0.9572515139117589,False,166.6963348388672,210.81723022460938,83.50137329101562,127.31585693359375,44.12089538574219
499,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-281_20260614T022911,mpc-1112-11-lambda-0.727,0.7274513012227727,0.9693084922006858,True,193.90159606933594,211.10928344726562,147.3411865234375,63.768096923828125,17.207687377929688
500,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-77_20260614T020235,mpc-1453-11-lambda-0.474,0.47429390701047486,0.7405665903124349,False,288.66571044921875,211.1810302734375,66.20085906982422,144.98016357421875,-77.48468017578125
501,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-106_20260614T205523,mpc-82-1-lambda-0.925,0.9248257334319682,0.8904700254070359,True,156.26156616210938,211.3074493408203,148.84844970703125,62.45899963378906,55.04588317871094
502,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-129_20260614T020924,mpc-1739-16-lambda-0.681,0.6806063729385469,0.23876827140814535,False,252.78041076660156,211.67410278320312,19.26798439025879,192.40611267089844,-41.10630798339844
503,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-144_20260614T021130,mpc-795-6-lambda-0.442,0.4422440625653516,0.3928842255432272,False,128.76988220214844,211.69351196289062,26.01402473449707,185.6794891357422,82.92362976074219
504,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-267_20260614T022730,mpc-73-2-lambda-0.097,0.09700882999976694,0.900721262649224,False,138.48362731933594,211.74356079101562,33.79509735107422,177.94845581054688,73.25993347167969
505,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-325_20260614T023534,mpc-1396-13-lambda-0.565,0.5652138999192801,0.4774860180450739,False,268.178466796875,211.92953491210938,41.783203125,170.14633178710938,-56.248931884765625
506,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-347_20260614T023755,mpc-2335-22-lambda-0.216,0.21599047410886243,0.18408008704504,False,117.12979125976562,212.0335235595703,9.02377700805664,203.00975036621094,94.90373229980469
507,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-209_20260614T021953,mpc-442-5-lambda-0.928,0.9280153095839866,0.6630622269458121,False,292.0054016113281,212.20166015625,97.3406982421875,114.8609619140625,-79.80374145507812
508,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-288_20260614T023010,mpc-2256-22-lambda-0.106,0.10631157577250003,0.9724610489110938,False,140.068359375,212.22372436523438,38.01247024536133,174.2112579345703,72.15536499023438
509,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-425_20260614T024906,mpc-1007-8-lambda-0.265,0.265007701564359,0.47539879126233325,False,85.42849731445312,212.7201385498047,27.100107192993164,185.62002563476562,127.29164123535156
510,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-31_20260613T233752,mpc-2540-24-lambda-0.815,0.8146849970003991,0.39038326710195154,False,158.0396728515625,212.97543334960938,41.85936737060547,171.11605834960938,54.935760498046875
511,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-360_20260614T023922,mpc-1676-16-lambda-0.658,0.658101919833496,0.9472755178592227,True,141.18374633789062,213.05807495117188,125.07292938232422,87.98514556884766,71.87432861328125
512,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-457_20260614T025349,mpc-641-9-lambda-0.664,0.6638876701195566,0.37738622419640766,False,233.3090057373047,213.11131286621094,35.371124267578125,177.7401885986328,-20.19769287109375
513,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-279_20260614T211828,mpc-183-3-lambda-0.613,0.613150115610333,0.5558227428633511,False,158.5601043701172,213.3299102783203,57.08319091796875,156.24671936035156,54.769805908203125
514,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-17_20260614T015442,mpc-1748-19-lambda-0.69,0.690086164357817,0.8850515913480999,True,112.1732177734375,214.0362091064453,108.20674896240234,105.82946014404297,101.86299133300781
515,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-91_20260614T205320,mpc-1419-15-lambda-0.544,0.5442538622845586,0.9833982227740898,True,125.17321014404297,214.38253784179688,111.67540740966797,102.7071304321289,89.2093276977539
516,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-387_20260614T213331,mpc-218-2-lambda-0.814,0.8135352221422951,0.822201604450665,True,119.43968963623047,214.74624633789062,116.24044799804688,98.50579833984375,95.30655670166016
517,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-36_20260614T204553,mpc-45-1-lambda-0.118,0.11803914764075052,0.19563320135394743,False,240.25209045410156,214.95899963378906,6.281710624694824,208.6772918701172,-25.2930908203125
518,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-195_20260614T210732,mpc-559-6-lambda-0.7,0.6998023802947355,0.8742647077640667,True,120.34782409667969,215.32823181152344,113.65586853027344,101.67236328125,94.98040771484375
519,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-37_20260613T233900,mpc-0-0-lambda-0.418,0.41813687130147,0.9123086278546914,False,150.04342651367188,215.47213745117188,81.93312072753906,133.5390167236328,65.4287109375
520,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-288_20260614T023010,mpc-2247-21-lambda-0.988,0.9877218489602889,0.04522342549835194,False,149.1437225341797,215.51600646972656,5.880031108856201,209.63597106933594,66.37228393554688
521,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-449_20260614T025217,mpc-1192-12-lambda-0.455,0.4546992986651028,0.04937386815119585,False,268.7074279785156,215.5260467529297,3.712456464767456,211.81358337402344,-53.18138122558594
522,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-36_20260614T204553,mpc-84-2-lambda-0.684,0.6838140236217471,0.3212001448349013,False,230.35289001464844,215.7904052734375,28.062944412231445,187.7274627685547,-14.562484741210938
523,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-53_20260613T234112,mpc-971-10-lambda-0.311,0.31148968138300864,0.01883057900127034,False,95.59624481201172,217.04800415039062,2.1265618801116943,214.92144775390625,121.4517593383789
524,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-43_20260614T204625,mpc-117-2-lambda-0.7,0.7002419750141985,0.9679520204861738,False,272.9373779296875,217.27798461914062,146.35118103027344,70.92680358886719,-55.659393310546875
525,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-220_20260614T022118,mpc-310-4-lambda-0.173,0.17313387783404305,0.09989440698565598,False,83.92131805419922,217.33291625976562,4.273606300354004,213.05931091308594,133.41159057617188
526,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-93_20260614T205338,mpc-800-9-lambda-0.412,0.4122973169025677,0.7145967392683487,False,189.53787231445312,217.7576904296875,60.23760223388672,157.52008056640625,28.219818115234375
527,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-42_20260613T233930,mpc-1436-16-lambda-0.406,0.40577698202411816,0.8170209917534557,False,135.51205444335938,218.17852783203125,68.8131332397461,149.36538696289062,82.66647338867188
528,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-43_20260614T204625,mpc-0-0-lambda-0.303,0.30258665521332856,0.36209401707812444,False,312.4690246582031,219.02101135253906,19.194971084594727,199.82603454589844,-93.44801330566406
529,/home/victor-xia/repos/Burst-Coast-MPC/artifacts/MonteCarloData/monte-carlo-data-epoch-266_20260614T022715,mpc-2508-29-lambda-0.714,0.7141099746557235,0.030235786939845764,False,140.4118194580078,219.0802001953125,3.0440468788146973,216.03614807128906,78.66838073730469
