snapshot_index,snapshot_name,snapshot_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
77,online-critic_20260630T204907026998,artifacts/model-snapshots/online-critic_20260630T204907026998,max_steps_reached,False,3000,30.0,35.49450841607177,0.2052629903482739,37.68150587499258,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
78,online-critic_20260630T204945274246,artifacts/model-snapshots/online-critic_20260630T204945274246,max_steps_reached,False,3000,30.0,26.201896225014934,0.1738633779459633,27.956487166986335,0.17998521696243625,0.17998521696243625,0.005999507232081208,2062,0.013409311348205624,0.002376333656644035,1.0,1.466537342386033,4.6281584064462535,-1.7135789291959125
79,online-critic_20260630T205018549744,artifacts/model-snapshots/online-critic_20260630T205018549744,max_steps_reached,False,3000,30.0,35.564505893649766,0.20464906431152485,37.810709084005794,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
80,online-critic_20260630T205108941741,artifacts/model-snapshots/online-critic_20260630T205108941741,max_steps_reached,False,3000,30.0,35.45442473629373,0.20618559053400531,37.64336766599445,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
81,online-critic_20260630T205133508282,artifacts/model-snapshots/online-critic_20260630T205133508282,max_steps_reached,False,3000,30.0,35.50234240104328,0.20642128205508925,37.69517054199241,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
82,online-critic_20260630T205200465756,artifacts/model-snapshots/online-critic_20260630T205200465756,max_steps_reached,False,3000,30.0,35.452668470708886,0.20624698456958868,37.625588708004216,0.0,0.0,0.0,3000,0.05517500000000001,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
83,online-critic_20260630T205221089387,artifacts/model-snapshots/online-critic_20260630T205221089387,max_steps_reached,False,3000,30.0,34.94348002236802,0.2048667236813344,37.10208079102449,0.11999638454766423,-0.11999638454766423,0.003999879484922141,2937,0.017160367722165476,0.00012768130745658836,1.0,1.0214504596527068,4.354357173730236,-2.7324511996342142
84,online-critic_20260630T205309731367,artifacts/model-snapshots/online-critic_20260630T205309731367,max_steps_reached,False,3000,30.0,35.582393798278645,0.206838190642884,37.90713720797794,0.0,0.0,0.0,3000,0.07198333333333334,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
85,online-critic_20260630T205337997068,artifacts/model-snapshots/online-critic_20260630T205337997068,max_steps_reached,False,3000,30.0,35.52343654958531,0.20558789555798285,37.726713666983414,0.0,0.0,0.0,3000,0.034708333333333334,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
86,online-critic_20260630T205401855914,artifacts/model-snapshots/online-critic_20260630T205401855914,max_steps_reached,False,3000,30.0,35.522376041073585,0.20472472798428498,37.70802279099007,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
